name,class_true,class_pred,summary,description,人工判别,说明（关键判别特征）
tboot,服务,工具,Performs a verified launch using Intel TXT,"Trusted Boot (tboot) is an open source, pre-kernel/VMM module that uses
Intel Trusted Execution Technology (Intel TXT) to perform a measured
and verified launch of an OS kernel/VMM.",工具,
tcpdump,工具,服务,A network traffic monitoring tool,"Tcpdump is a command-line tool for monitoring network traffic.
Tcpdump can capture and display the packet headers on a particular
network interface or on all interfaces.  Tcpdump can display all of
the packet headers, or just the ones that match particular criteria.

Install tcpdump if you need a program to monitor network traffic.",工具,tool
teckit,工具,库,Conversion library and mapping compiler,"TECkit is a low-level toolkit intended to be used by other
applications that need to perform encoding conversions (e.g., when
importing legacy data into a Unicode-based application). The
primary component of the TECkit package is therefore a library that
performs conversions; this is the ""TECkit engine"". The engine
relies on mapping tables in a specific binary format (for which
documentation is available); there is a compiler that creates such
tables from a human-readable mapping description (a simple text file).",库,
tengine,服务,工具,A distribution of Nginx with some advanced features,"Tengine is a web server originated by Taobao. It is based on the Nginx
HTTP server and has many advanced features.",服务,nginx
texlive-lib,工具,库,Shared libraries for TeX-related files,TeX specific shared libraries.,库,
tftp,服务,工具,The client for the Trivial File Transfer Protocol (TFTP),"The Trivial File Transfer Protocol (TFTP) is normally used only for
booting diskless workstations.  The tftp package provides the user
interface for TFTP, which allows users to transfer files to and from a
remote machine.  This program and TFTP provide very little security,
and should not be enabled unless it is expressly needed.",工具,client
thunderbird,工具,库,Mozilla Thunderbird mail/newsgroup client,Mozilla Thunderbird is a standalone mail and newsgroup client.,工具,client
tigervnc,服务,库,A TigerVNC remote display system,"Virtual Network Computing (VNC) is a remote display system which
allows you to view a computing 'desktop' environment not only on the
machine where it is running, but from anywhere on the Internet and
from a wide variety of machine architectures.  This package contains a
client which will allow you to connect to other desktops running a VNC
server.",工具,client
tigervnc-icons,服务,其它,Icons for TigerVNC viewer,This package contains icons for TigerVNC viewer,工具,
tigervnc-license,服务,其它,License of TigerVNC suite,This package contains license of the TigerVNC suite,工具,
timedatex,服务,工具,D-Bus service for system clock and RTC settings,"timedatex is a D-Bus service that implements the org.freedesktop.timedate1
interface. It can be used to read and set the system clock, the real-time clock
(RTC), the system timezone, and enable or disable an NTP client installed on
the system. It is a replacement for the systemd-timedated service.",服务,
tix,工具,服务,A set of extension widgets for Tk,"Tix, the Tk Interface eXtension, is a powerful set of user interface
components that expands the capabilities of your Tcl/Tk and Python
applications. Using Tix together with Tk will greatly enhance the
appearance and functionality of your application.",库,
tk,库,工具,The graphical toolkit for the Tcl scripting language,"When paired with the Tcl scripting language, Tk provides a fast and powerful
way to create cross-platform GUI applications.",工具,tk语言执行程序
tlog,工具,服务,Terminal I/O logger,"Tlog is a terminal I/O recording program similar to ""script"", but used in
place of a user's shell, starting the recording and executing the real user's
shell afterwards. The recorded I/O can then be forwarded to a logging server
in JSON format.",工具,
tog-pegasus-libs,库,服务,The OpenPegasus Libraries,The OpenPegasus libraries.,库,libraries
tomcatjss,库,工具,JSS Connector for Apache Tomcat,"JSS Connector for Apache Tomcat, installed via the tomcatjss package,
is a Java Secure Socket Extension (JSSE) module for Apache Tomcat that
uses Java Security Services (JSS), a Java interface to Network Security
Services (NSS).",库,
torque-libs,服务,库,Run-time libs for programs which will use the torque library,"TORQUE (Tera-scale Open-source Resource and QUEue manager) is a resource
manager providing control over batch jobs and distributed compute nodes.
TORQUE is based on OpenPBS version 2.3.12 and incorporates scalability,
fault tolerance, and feature extension patches provided by USC, NCSA, OSC,
the U.S. Dept of Energy, Sandia, PNNL, U of Buffalo, TeraGrid, and many
other leading edge HPC organizations.

This package includes the shared libraries necessary for running TORQUE
programs.",库,libs
totem,工具,服务,Movie player for GNOME,"Totem is simple movie player for the GNOME desktop. It features a
simple playlist, a full-screen mode, seek and volume controls, as well as
a pretty complete keyboard navigation.

Totem is extensible through a plugin system.",工具,
totem-pl-parser,工具,库,Totem Playlist Parser library,"A library to parse and save playlists, as used in music and movie players.",库,library
tpm2-abrmd,工具,服务,A system daemon implementing TPM2 Access Broker and Resource Manager,"tpm2-abrmd is a system daemon implementing the TPM2 access broker (TAB) and
Resource Manager (RM) spec from the TCG.",服务,daemon
tpm2-abrmd-selinux,工具,服务,SELinux policies for tpm2-abrmd,SELinux policy modules for tpm2-abrmd.,服务,跟随主包tpm2-abrmd
tpm2-tools,工具,服务,A TPM2.0 testing tool build upon TPM2.0-TSS,tpm2-tools is a batch of testing tools for tpm2.0. It is based on tpm2-tss.,工具,
kernelshark,工具,库,GUI analysis for Ftrace data captured by trace-cmd,"Kernelshark is the GUI frontend for analyzing data produced by
'trace-cmd extract'",工具,
tracer-common,工具,其它,Common files for tracer,Common files for tracer.,工具,
tracker,工具,库,Desktop-neutral metadata database and search tool,"Tracker is a powerful desktop-neutral first class object database,
tag/metadata database and search tool.

It consists of a common object database that allows entities to have an
almost infinite number of properties, metadata (both embedded/harvested as
well as user definable), a comprehensive database of keywords/tags and
links to other entities.

It provides additional features for file based objects including context
linking and audit trails for a file object.

Metadata indexers are provided by the tracker-miners package.",工具,
tracker-miners,工具,库,Tracker miners and metadata extractors,"Tracker is a powerful desktop-neutral first class object database,
tag/metadata database and search tool.

This package contains various miners and metadata extractors for tracker.",工具,
