pkg,summary,description,summary_bert_key,description_bert_key,summary_textrank_key,description_textrank_key,predict_label,real_label
groff,"
Parts of the groff formatting system required to display manual pages.","
The groff-base package contains only necessary parts of groff formatting
system which are required to display manual pages, and the groff's default
display device (PostScript).",pages formatting groff ,groff base pages postscript display ,system require display ,groff display part formatting system ,10,应用工具
hardlink,"
Create a tree of hardlinks.","
hardlink is used to create a tree of hard links. It's used by kernel
installation to dramatically reduce the amount of disk space used by each
kernel package installed.",hardlinks tree create ,hardlink links disk tree kernel ,create tree hardlinks ,kernel disk space amount hardlink ,10,应用工具
hdparm,"
A utility for displaying and/or setting hard disk parameters.","
Hdparm is a useful system utility for setting (E)IDE hard drive
parameters.  For example, hdparm can be used to tweak hard drive
performance and to spin down hard drives for power conservation.",disk parameters utility ,hdparm drives ide utility parameters ,display and/or hard ,hard drive hdparm spin system ,10,应用工具
HdrHistogram_c,"
C port of the HdrHistogram.","
C port of High Dynamic Range (HDR) Histogram.",hdrhistogram port ,histogram hdr range port dynamic ,port hdrhistogram ,port high dynamic range histogram ,10,应用工具
hexedit,"
A hexadecimal file viewer and editor.","
Hexedit shows a file both in ASCII and in hexadecimal. The file can be a device
as the file is read a piece at a time. Hexedit can be used to modify the file
and search through it.",hexadecimal file viewer ,hexedit hexadecimal file ascii search ,hexadecimal file viewer ,file hexedit device read piece ,10,应用工具
hicolor-icon-theme,"
Basic requirement for icon themes.","
Contains the basic directories and files needed for icon theme support.",themes icon requirement ,icon theme files directories needed ,basic requirement icon ,file need icon directory theme ,10,应用工具
hplip,"
HP Linux Imaging and Printing Project.
Files needed by the HPLIP printer and scanner drivers.
HPLIP graphical tools.
HPLIP libraries.
SANE driver for scanners in HP's multi-function devices.","
The Hewlett-Packard Linux Imaging and Printing Project provides
drivers for HP printers and multi-function peripherals.
Files needed by the HPLIP printer and scanner drivers.
HPLIP graphical tools.
Libraries needed by HPLIP.
SANE driver for scanners in HP's multi-function devices (from HPOJ).",hplip scanner printer ,hplip packard scanner printers drivers ,hplip scanner driver ,driver printer hplip scanner multi-function ,10,应用工具
icoutils,"
Utility for extracting and converting Microsoft icon and cursor files.","
The icoutils are a set of programs for extracting and converting images in
Microsoft Windows icon and cursor files. These files usually have the
extension .ico or .cur, but they can also be embedded in executables or
libraries.",cursor microsoft extracting ,icoutils ico microsoft images executables ,convert microsoft icon ,file image microsoft convert windows ,10,应用工具
imlib2,"
Imlib2 id3tag-loader.
Image loading, saving, rendering, and manipulation library.","
This package contains a plugin which makes imlib2 capable of parsing id3 tags
of mp3 files. This plugin is packaged separately because it links with
libid3tag which is GPLv2+, thus making imlib2 and apps using it subject to the
conditions of the GPL version 2 (or at your option) any later version.
Imlib 2 is a library that does image file loading and saving as well
as rendering, manipulation, arbitrary polygon support, etc.  It does
ALL of these operations FAST. Imlib2 also tries to be highly
intelligent about doing them, so writing naive programs can be done
easily, without sacrificing speed.  This is a complete rewrite over
the Imlib 1.x series. The architecture is more modular, simple, and
flexible.",imlib2 id3tag loader ,imlib2 id3 mp3 gplv2 parsing ,loading save render ,imlib2 make file imlib load ,10,应用工具
intel-cmt-cat,"
Provides command line interface to CMT, MBM, CAT, CDP and MBA technologies.","
This software package provides basic support for
Cache Monitoring Technology (CMT), Memory Bandwidth Monitoring (MBM),
Cache Allocation Technology (CAT), Memory Bandwidth Allocation (MBA),
and Code Data Prioratization (CDP).

CMT, MBM and CAT are configured using Model Specific Registers (MSRs)
to measure last level cache occupancy, set up the class of service masks and
manage the association of the cores/logical threads to a class of service.
The software executes in user space, and access to the MSRs is
obtained through a standard Linux* interface. The virtual file system
provides an interface to read and write the MSR registers but
it requires root privileges.",cmt command mba ,cache software registers mbm privileges ,provides command line ,msrs cache provide interface class ,10,应用工具
ipcalc,"
IP network address calculator.","
ipcalc provides a simple way to calculate IP information for a host
or network. Depending on the options specified, it may be used to provide
IP network information in human readable format, in a format suitable for
parsing in scripts, generate random private addresses, resolve an IP address,
or check the validity of an address.",ip calculator address ,ipcalc ip addresses parsing scripts ,network address calculator ,provide network information generate address ,10,应用工具
iso-codes,"
ISO code lists and translations.","
This package provides the ISO 639 Language code list, the ISO 4217
Currency code list, the ISO 3166 Territory code list, and ISO 3166-2
sub-territory lists, and all their translations in gettext format.",iso translations code ,translations code iso list gettext ,code list translation ,list code sub-territory translation provide ,10,应用工具
itstool,"
ITS-based XML translation tool.","
ITS Tool allows you to translate XML documents with PO files, using rules from
the W3C Internationalization Tag Set (ITS) to determine what to translate and
how to separate it into PO file messages.",xml translation tool ,xml internationalization translate documents po ,its-based translation tool ,translate file document determine rule ,10,应用工具
jbig2dec,"
A decoder implementation of the JBIG2 image compression format.","
jbig2dec is a decoder implementation of the JBIG2 image compression format.
JBIG2 is designed for lossy or lossless encoding of 'bilevel' (1-bit
monochrome) images at moderately high resolution, and in particular scanned
paper documents. In this domain it is very efficient, offering compression
ratios on the order of 100:1.

This package provides the shared jbig2dec library.",jbig2 decoder compression ,jbig2dec jbig2 encoding decoder scanned ,implementation jbig2 image ,image compression jbig2 jbig2dec resolution ,10,应用工具
js-d3-flame-graph,"
A D3.js plugin that produces flame graphs.","
A D3.js plugin that produces flame graphs from hierarchical data.",flame d3 graphs ,flame d3 graphs hierarchical data ,d3.js plugin produce ,produce flame graph plugin hierarchical ,10,应用工具
keentune-bench,"
Benchmark script running models for KeenTune.","
Benchmark script running models for KeenTune",benchmark keentune models ,benchmark keentune models script running ,benchmark script model ,benchmark script model keentune ,10,应用工具
keentune-brain,"
AI-Tunning algorithm models for KeenTune.","
AI-Tunning algorithm models for KeenTune",tunning keentune algorithm ,keentune tunning ai algorithm models ,ai-tunning algorithm model ,ai-tunning algorithm model keentune ,10,应用工具
